2,inzinjerstvo,I believe it's termed injecting not pumping but yes it's certainly possible Coal fired electric power plants grind the coal to a very fine dust and then blow the dust into the central burner This particular article is a summary of some DOE research for a Blast Furnace Granulated Coal Injection System Demonstration Project And this article discusses some of the hazards from a National Fire Protection Association perspective Coal dust having the particular dangerous property of being explosive and all that As far as specifics regarding danger I suspect it will vary depending upon the material(s) involved in the powder
24,inzinjerstvo,Most stainless steels contain nickel around 10% It is combined normally with chrome and molybdenum The main problem that a natatorium (i e swimming pool) is a highly corrosive environment and most stainless steel alloy is a little bit slowly corroding here Even aluminium gets a greyish-white surface layer In the case of constructive materials the situation is a little bit better First because they are mostly in the wall and the concrete around them partially protects them In case of freely available surfaces plastic or painting is yet used
248,inzinjerstvo,The barometric height formula is defined as $$ p(z) = p(0)\exp(-Mgz/(RT))$$ For a centrifuge the upper expression is transformed to $$ p(r) = p(0)\exp(M\omega^2r^2/(2RT))$$ As you see the $g$ is transformed to the radial acceleration $a = \omega^2 r$ The factor $2$ stems from the integration which you have to do during the derivation of the barometric height formula (see barometric height formula derivation) And of course the minus sign disappeared because the force points outward Both formulas hold also for a mixture of gases I cite Kemp R Scott Gas Centrifuge Theory and Development A Review of US Programs Science and Global Security 17 (2009) 1-19 When the rotor contains a mixture of gases the distribution holds independently for each species So as a first approximation it is as I suggested in the comment section The cited source gives the following equations for a two-isotope gas $$ p_A(r) = p_A(0)\exp(M_A\omega^2r^2/(2RT))$$ $$ p_B(r) = p_B(0)\exp(M_B\omega^2r^2/(2RT))$$ A separation factor can be calculated $$ \alpha_0 = \frac{p_A(0)}{p_B(0)}/\frac{p_A(r)}{p_B(r)} =\exp((M_B- M_A)\omega^2r^2/(2RT))$$ Keep in mind that all formulas here don't include convection of any kind In earth's atmosphere we have too much convection and temperature differences for those formulas to work Furthermore in centrifuges to improve their performance there is a current-flow introduced (see the cited source )
8,inzinjerstvo,Unlike within the United States and the PE license it doesn't appear that it's possible to receive an EUR ING license by direct comity EU Engineering licensing is handled by FEANI and on their EUR ING page they state Application is open only to individuals if they are members of an engineering association represented in FEANI through a National Member But it may be possible to join one of the German FEANI members and see if they can support a reciprocity or comity process 1 1 There are other member organization in other countries but your question specifically mentioned Germany Digging a bit deeper it does appear that there may be limited cases where an EUR ING will be awarded based upon sufficient experience as a professional engineer Take a look through the FEANI EUR ING guide in particular Section 5 which details the minimum requirements Most of the cases cover qualifications based upon an education received within an FEANI member country Section 5 4b deals with special circumstances and provides the potential pathway that you could receive an EUR ING license Nevertheless it is possible to consider such alternative routes Very strict procedures however have then to be followed (see 7 1) and the applicant must have at least 15 years of Professional Engineering Experience recognized by FEANI So it does appear to be possible but again it's not as simple as the comity process within the United States
30,inzinjerstvo,The work history and temperature history of any metal can make a big difference in the final shape after machining If the material was cold worked (e g rolled) there may be significant residual stresses within the material When you start selectively removing material those stresses may cause the part to warp into a new shape Cast metals and ones that have been given surface treatments can have the same problem You might be able to address the problem by roughing the part to near-final shape and then running a finishing pass to remove that last little bit of material Otherwise take a look at the specifications of the material You may need to heat treat the part to relieve those stresses This is a problem that can exist with just about any metal not just Al
39,inzinjerstvo,Paradoxically maybe the home-sized magnetic levitation could be a narrow area where superconducting solutions could be cheap I explain why Although room-temperature superconductivity is a dream room superconductivity is not -) There are soon superconducting materials which can be cooled by liquid air and they aren't even costly Liquid air is also relatively cheap Maybe a liquid air processing machine were costly but you don't need to buy that Only to buy the superconducting alloy and the liquid air (nitrogen) For the first I tried ebay But it depends what you want to reach I once played chess with figures levitated by Meissner-effect The result could be
142,inzinjerstvo,A yahkchal is an example of a type of passively cooled building in Iran They utilise a combination of passive evaporative cooling and thick thermally insulating walls in order to keep the interior temperatures low enough First wind is directed into underground aquifers known as qanat They are then cooled due to the low humidity desert air causing water to evaporate The cooled air then flows through the interior of the yakhchal cooling the interior The thick insulating walls (filled with earth and various insulating materials such as straw and feathers) help to insulate the cool interior from the hot exterior therefore maintaining a low temperature inside the yakhchal
19,inzinjerstvo,The combustion chamber and nozzle of the Space Shuttle main engine were cooled with liquid hydrogen Liquid hydrogen was also the fuel It was used as a coolant before it was burned ( regenerative cooling ) Another example is the air breathing rocket engine SABRE Here too liquid hydrogen is used as fuel It's also used for liquefying the atmospheric oxygen In the industry one advantage that liquid helium and nitrogen have over hydrogen is that helium and nitrogen are inert and non-combustible Probably less corrosive too p s The question has a superconduction tag So I don't know if this is the sort of application of liquid hydrogen cooling that the O P is looking for
36,inzinjerstvo,The main problem which I can see in your idea that your system will have a cumulative error Only calculating this won't be enough you will have to find alternate solutions too In similar (but maybe bigger) scenarios for exampe for drones there is a similar problem The solution is using the wheel rotation counters to get a fast real-time but buggy input data (which contains the cumulative error as well) In case of flying drones this data is coming from giros and accelerometers your task is much simpler compared to their But you should get an alternate information source too (In case of the drones it is normally the GPS) This can be GPS or some other thing - there is a wide spectrum of possibilities Visual image processing Precalibrated ultrasound markers Marker paintings on the floor If I suspect correctly the size of your experiment maybe the last would be most promising to you
83,inzinjerstvo,You can use a sort of double diameter washer I've made that name up but I am pretty sure such a device exists That's a cross section of one of your linkages The white things are the aluminum pieces the grey one is the screw the yellow is the nut while the red is the double diameter washer If you can found some washer that is slightly longer than your aluminum bars thikness you are good to go Of course if it's too long the linkage may become lousy but with a good cutter you can trim them down or you can also add some regular washers between the red one and the nut
