1,Is it possible to pump a powder the same way liquids can be pumped If so what are the challenges If not what are some alternatives,inzinjerstvo,2
3,More specifically What would be the best type of steel to specify Would a heavy galvanization suffice Are there specialty paints/coatings available for this particular application If so how long do they last,inzinjerstvo,24
4,I think actually the first row is needed is a barometric height formula for the mix of gases The main problem I can see the curves describing the minimal energy (kinetic + gravitational/centrifugal) won't be any more a simple derivative but a functional equation I think this or similar equations could be useful in very separate areas (isotope separation estimating high atmosphere components of planets etc ) Despite I couldn't find anything with google about this So the question is we have a high gas mixture in constant g gravity and T temperature We known the p1 p2 partial pressures of the gases on the h=0 Of course we know every relevant constants of the gases too What is their minimal-energy isothermic height-dependent partial pressure function pn(h),inzinjerstvo,248
6,The United States have different rules about exactly how one obtains an engineering license but the general process is the FE exam a few years of work and the PE exam Suppose one then wishes to practice engineering in Germany What are the legal requirements for doing so,inzinjerstvo,8
9,I am currently having an issue where features of my machined parts are warping Using a feeler gauge and a certified calibrated granite slab I am getting out-of-flatness measurements up to 009 which is significantly out of tolerance relative to my requirements I have decided to construct a statistically-designed experiment ( design of experiments ) to find which specific factors are playing a role but I want to ensure that I am including all of the factors which may contribute I don't want to lead the conversation too much by posting what I already listed but I am looking for others' opinions on what might cause this kind of warping/deflection,inzinjerstvo,30
10,I am currently considering turning my fascination with magnets into a diy activity How feasible is it for a hobbyist to construct a working model of a maglev device I'm looking to build something really small for now just a demonstrative prototype that can hover over a surface I'm looking for a rough idea of cost time and materials Is it something that can be attempted while working a full time job Does anyone know of any good starting points in terms of literature,inzinjerstvo,39
14,I think here is the main problem the difference between the internal and the external temperature For example in Saudi Arabia in 50 C a passive house needed probably much sophisticated planning as in Paris Compared to the traditional cooling systems in the second case is enough only to get a cooling system with bigger power I think they are much more scalable Is it anyways possible,inzinjerstvo,142
16,Liquid hydrogen cooling could be some intermediate solution between helium and liquid nitrogen based cooling For example some type of superconductors could be cooled by liquid H 2 and this could be much cheaper than the liquid He What are their most characteristic applications in the industry,inzinjerstvo,19
20,I'm making a robot for the Sparkfun AVC I was curious if I could use only the knowledge about How the car is being steered at every time interval How many times the wheels have rotated to get a general sense of where the car is I would use computer vision to avoid immediate dangers The biggest problem is any slipping causing false counts,inzinjerstvo,36
22,I recently had a project where I made an aluminum linkage (similar to a scissor lift) operated by linear actuators Aluminum pieces were fabricated from 6061 standard aluminum stock 6mm (0 25 inch) thick The bars are at most 750x75mm (30x3 ) The application was mostly cosmetic (for a special effect) rather than lifting or exerting much force I used shoulder bolts with a nylon washer between the aluminum pieces to reduce friction and standard zinc-plated steel washers on the exterior sides The problem I encountered was tightening the bolt too much would result in too much friction whereas too loose would result in one of the aluminum pieces coming slightly off the shoulder of the bolt skewing and causing similar problems What would be a better way to create a reliable pivot point that doesn't require constant adjustment I put together this illustration as an example per Nick's suggestion,inzinjerstvo,83
26,As far I know the depleted fuel cells are crushed and solved in nitric acid What is coming after that This nitric acid should probably contain a very wide spectrum of different salts (practically all of the elements between 35-65 and yet a lot of transurans and a lot of uranium (both of 235 ad 238) and plutonium) To reach an efficient reprocessing the uranium (or at least the actinid elements) should be somehow separated from this solution But AFAIK they have very different chemical properties How is it possible to separate only the transuranic materials,inzinjerstvo,43
28,I am wondering if there is a spring strong enough and light enough to inflate an airtight membrane so that it floats at Standard Temp &amp; Pressure As an example a 10cm cylinder would displace just under 1 gram of air but a cylindrical spring would have to oppose 162kg of atmospheric force in that configuration Is there such a thing as a 162kg 10cm cylindric spring that weighs less than 1 gram But that's just one spring design More generally what spring designs provide the highest rate/weight ratio What are the current practical limits on spring rate vs spring mass and using what materials,inzinjerstvo,111
31,I have some height-adjustment nuts screwed onto vertical threads to support my print-bed for a 3D printer They are domed nuts and the aluminium build-plate sits on top of the domes three holes in the plate align with the domes to hold the plate in place How can I protect these nuts from vibration loosening without using thread-locker or similar so that they remain adjustable,inzinjerstvo,40
32,I've found myself tapping and threading a lot lately and doing so with hand taps and dies What would be the next step up from using a drill-press to cut holes for tapping and a lathe for turning parts to diameter for threading What are options for making this easier and more precise short of a 6-figure screw or CNC machine,inzinjerstvo,205
33,It's true that most bridges are two directional But three way bridges are pretty rare globally I can understand why there wouldn't be many for rivers but if bridges are designed based on the lie of the surrounding ground why wouldn't there be a large number of non-river sites that would support such bridges On the other hand three out of the world's bridges exist in Michigan (and only ten or so elsewhere in the United States) What is it about the land topography or other features of Michigan that cause it to have a disproportionate number of the country's and world's three way bridges,inzinjerstvo,75
34,My design uses a round steel bar inserted through a hole in an aluminium component with a tight fit (no movement) The operating environment is dry 20-40°C Do I need to worry about galvanic corrosion and if so how long will this last before starting to corrode Also what storage conditions should I avoid that would accelerate the corrosion,inzinjerstvo,41
